"TestID","PreviousSource","Application","Role","Module","Feature","Scenario","PreviousResult","CurrentResult","Delta","ExecutionEnvironment","PreviousDefect","CurrentDefect","PreviousBlocker","CurrentBlocker","Evidence","Notes"
"QA-0106","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Validation","Validation","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0107","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Submission","Submission","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0108","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Duplicate submission","Duplicate submission","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0109","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Request detail","Request detail","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0110","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Status","Status","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0111","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Assigned plumber","Assigned plumber","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0112","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Service request","Full lifecycle","Full lifecycle","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0113","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Actual backend state mapping","Actual backend state mapping","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0114","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Assigned state","Assigned state","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0115","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Arrival state","Arrival state","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0116","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Diagnosis state","Diagnosis state","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0117","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Materials state","Materials state","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0118","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Resumed state","Resumed state","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0119","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Completed state","Completed state","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0120","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Completion detail","Completion detail","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0121","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Customer confirmation","Customer confirmation","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0122","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Rating","Rating","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0123","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Review","Review","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0124","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Duplicate rating","Duplicate rating","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0125","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","Rating retrieval","Rating retrieval","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0126","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Order tracking/completion","History","History","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0127","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","View profile","View profile","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0128","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","Edit profile","Edit profile","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0129","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","Validation","Validation","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0130","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","Persistence after relogin","Persistence after relogin","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0131","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","Support chat","Support chat","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0132","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","Support links","Support links","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0133","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Profile/support","Help actions","Help actions","BLOCKED","BLOCKED","BLOCKED -> BLOCKED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","LOCAL-CUSTOMER-OTP-001","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Customer browser OTP sends digits without the backend-required +91 prefix and space; real Customer session unavailable.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0134","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Email tab","Email tab","PASS","PASS","PASS -> PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0135","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Mobile tab","Mobile tab","PASS","PASS","PASS -> PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0136","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Remember me toggles on/off","Remember me toggles on/off","PASS","PASS","PASS -> PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0137","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Exact Sign up link opens registration","Exact Sign up link opens registration","PASS","PASS","PASS -> PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0138","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration return link","Registration return link","PASS","NOT TESTED","PASS -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","Visible state changes verified; Remember me session persistence is not certified"
"QA-0139","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","OTP back arrow","OTP back arrow","PASS","NOT TESTED","PASS -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","Visible state changes verified; Remember me session persistence is not certified"
"QA-0140","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Email login backend target","Email login backend target","FAIL","PASS","FAIL -> PASS = FIXED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0141","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Empty mobile validation feedback","Empty mobile validation feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0142","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Short mobile validation feedback","Short mobile validation feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0143","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Empty email login feedback","Empty email login feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0144","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Empty registration feedback","Empty registration feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0145","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Forgot password feedback","Forgot password feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0146","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Google feedback","Google feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0147","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Facebook feedback","Facebook feedback","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0148","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Initial OTP dispatch truthfulness","Initial OTP dispatch truthfulness","FAIL","FAIL","FAIL -> FAIL = STILL FAILING","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","","","logs/public-focused-recovery.json","Web feedback remains absent; OTP screen reached without an initial send-otp request."
"QA-0149","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Successful login","Successful login","BLOCKED","PASS","BLOCKED -> PASS = UNBLOCKED/PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0150","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Actual PLUMBER role","Actual PLUMBER role","BLOCKED","PASS","BLOCKED -> PASS = UNBLOCKED/PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0151","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Session restore","Session restore","BLOCKED","PASS","BLOCKED -> PASS = UNBLOCKED/PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0152","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Refresh","Refresh","BLOCKED","PASS","BLOCKED -> PASS = UNBLOCKED/PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/public-focused-recovery.json; logs/plumber-ipv4-login-continuation.json; logs/plumber-restore-continuation.json","Real email login, role response, refresh/session restoration and public controls. Tab semantic compliance is evaluated separately."
"QA-0153","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Logout","Logout","BLOCKED","PASS","BLOCKED -> PASS = UNBLOCKED/PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/post-logout-continuation.json","UI logout and reload return to login; token invalidation assessed separately"
"QA-0154","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Post-logout route","Post-logout route","BLOCKED","PASS","BLOCKED -> PASS = UNBLOCKED/PASS","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","","logs/post-logout-continuation.json","UI logout and reload return to login; token invalidation assessed separately"
"QA-0155","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Invalid password","Invalid password","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0156","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Password rotation","Password rotation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0157","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Wrong OTP response","Wrong OTP response","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0158","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","OTP resend response","OTP resend response","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0159","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","OTP expiry","OTP expiry","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0160","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration success","Registration success","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0161","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration duplicate account","Registration duplicate account","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0162","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration profile/KYC persistence","Registration profile/KYC persistence","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
"QA-0163","reports/full-e2e-qa/coverage-cases.csv","Plumber","PLUMBER","Authentication","Registration numeric/long/Unicode validation","Registration numeric/long/Unicode validation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass."
