application,screenEvidence,tag,role,label,text,placeholder,basis,coverage
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","INPUT","","","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","BUTTON","button","Create Store Account","Create Store Account","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-05-registration-empty.json","DIV","","","Already registered? Log in","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-06-refreshed.json","INPUT","","","","store@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-06-refreshed.json","INPUT","","","","••••••••","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-06-refreshed.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-06-refreshed.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-06-refreshed.json","BUTTON","button","Log In","Log In","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-06-refreshed.json","DIV","","","Register Store","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-07-deep-link.json","A","","","Read our documentation to learn more about this error.","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"store","2026-09-13T16-00-43-794Z/store-08-forward.json","A","","","Read our documentation to learn more about this error.","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-01-mobile-empty.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-02-mobile-letters.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-03-mobile-short.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","DIV","","","✓
Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-04-remember-on.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","INPUT","","","","plumber@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","INPUT","","","","********","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-05-login.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","INPUT","","","","plumber@plumbcommerce.com","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","INPUT","","","","********","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","BUTTON","button","Continue","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-06-invalid-email.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","BUTTON","button","Continue","","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-07-signup-result.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","DIV","","","Mobile","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","DIV","","","Email","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","INPUT","","","","Enter mobile number","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","DIV","","","Remember me","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","DIV","","","Forgot Password?","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","BUTTON","button","Continue","Continue","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","DIV","","","G
Google","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-08-refreshed.json","DIV","","","f
Facebook","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-09-deep-link.json","A","","","Read our documentation to learn more about this error.","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
"plumber","2026-09-13T16-02-47-798Z/plumber-10-forward.json","A","","","Read our documentation to learn more about this error.","","Runtime visible DOM snapshot","See corresponding case/module and action log; inventory alone is not PASS"
